length,time_suffix_array,time_suffix_tree,time_fm,memory_suffix_array,memory_suffix_tree,memory_fm
5001,0.0120380735,0.0000000000,0.0000000000,12842.9980468750,0.3906250000,0.4199218750
5026,0.0111580944,0.0000000000,0.0000000000,12968.7304687500,0.4609375000,0.5341796875
5029,0.0104884529,0.0000000000,0.0000000000,12983.8593750000,0.3906250000,0.4199218750
5029,0.0119702530,0.0000000000,0.0000000000,12983.8593750000,0.5234375000,0.5966796875
5068,0.0123060846,0.0000000000,0.0000000000,13181.3349609375,0.3906250000,0.4199218750
5119,0.0109355593,0.0000000000,0.0000000000,13441.8134765625,0.4203125000,0.5654296875
5172,0.0113986540,0.0000000000,0.0000000000,13715.1982421875,0.4609375000,0.5341796875
5200,0.0143660879,0.0000000000,0.0000000000,13860.7353515625,0.4453125000,0.5654296875
5212,0.0189620543,0.0000000000,0.0000000000,13923.3427734375,0.4453125000,0.5654296875
5407,0.0116322517,0.0000000000,0.0000000000,14970.7353515625,0.4609375000,0.5341796875
5468,0.0108059359,0.0000000000,0.0000000000,15302.7802734375,0.4921875000,0.5654296875
5502,0.0114709520,0.0000000000,0.0000000000,15489.4316406250,0.4453125000,0.5654296875
5506,0.0114947605,0.0000000000,0.0000000000,15511.4648437500,0.4312500000,0.5654296875
5512,0.0114698553,0.0000000000,0.0000000000,15544.5439453125,0.4771875000,0.5654296875
5646,0.0182367849,0.0000000000,0.0000000000,16292.4707031250,0.4921875000,0.5654296875
5655,0.0125273800,0.0000000000,0.0000000000,16343.3330078125,0.4921875000,0.5654296875
5671,0.0193607664,0.0000000000,0.0000403738,16433.9501953125,0.4212500000,0.5654296875
5689,0.0165199089,0.0000000000,0.0000000000,16536.1933593750,0.4296875000,0.5654296875
5742,0.0130239296,0.0000000000,0.0000804186,16839.0800781250,0.4453125000,0.5654296875
5828,0.0131152439,0.0000805044,0.0000000000,17336.3935546875,0.4453125000,0.5654296875
5898,0.0139647245,0.0000408077,0.0000000000,17758.0781250000,0.4831250000,0.5654296875
5936,0.0135342073,0.0000000000,0.0000401545,17982.7197265625,0.4590625000,0.5341796875
5966,0.0129041338,0.0000000000,0.0000000000,18161.0644531250,0.4609375000,0.5341796875
6023,0.0137895679,0.0000000000,0.0000000000,18502.3408203125,0.4453125000,0.5654296875
6094,0.0136506748,0.0000000000,0.0000401783,18931.8769531250,0.4134375000,0.5654296875
6109,0.0132149935,0.0000000000,0.0000000000,19023.2539062500,0.3718750000,0.4199218750
6214,0.0141928482,0.0003199911,0.0000000000,19669.0449218750,0.4453125000,0.5654296875
6240,0.0138066006,0.0000000000,0.0000000000,19830.6181640625,0.4921875000,0.5654296875
6278,0.0147421885,0.0000000000,0.0000000000,20067.9511718750,0.4971875000,0.5654296875
6297,0.0167184019,0.0000508451,0.0000000000,20187.1464843750,0.5234375000,0.5654296875
6303,0.0150279379,0.0000000000,0.0000000000,20224.8603515625,0.4453125000,0.5654296875
6324,0.0148778677,0.0000000000,0.0000000000,20357.1357421875,0.4040625000,0.5654296875
6388,0.0174868822,0.0000401688,0.0000000000,20762.9169921875,0.4453125000,0.5654296875
6392,0.0148537302,0.0003187037,0.0000000000,20788.4111328125,0.5234375000,0.5654296875
6400,0.0167955303,0.0000000000,0.0003584146,20839.4462890625,0.4609375000,0.5341796875
6429,0.0178142786,0.0000000000,0.0000000000,21024.9726562500,0.3850000000,0.4199218750
6446,0.0177721214,0.0000000000,0.0000000000,21134.1113281250,0.3906250000,0.4199218750
6463,0.0149748230,0.0000000000,0.0000000000,21243.5322265625,0.4071875000,0.5654296875
6499,0.0153624964,0.0000000000,0.0000000000,21476.1787109375,0.4453125000,0.5654296875
6559,0.0157150650,0.0000401402,0.0000402117,21866.7353515625,0.4296875000,0.5654296875
6604,0.0156367350,0.0000000000,0.0000000000,22161.9599609375,0.4921875000,0.5966796875
6667,0.0164399767,0.0000000000,0.0000000000,22591.5966796875,0.4590625000,0.5341796875
6769,0.0172949934,0.0000000000,0.0000000000,23274.3691406250,0.4296875000,0.5654296875
6846,0.0163371944,0.0000000000,0.0000000000,23796.5253906250,0.3709375000,0.4199218750
6891,0.0195390701,0.0000000000,0.0000408506,24104.3623046875,0.4453125000,0.5654296875
6912,0.0262123680,0.0000000000,0.0000000000,24248.6962890625,0.4453125000,0.5654296875
6968,0.0179103327,0.0000000000,0.0000000000,24635.6923828125,0.4453125000,0.5654296875
6991,0.0189765978,0.0000000000,0.0000000000,24795.5244140625,0.4296875000,0.5654296875
7019,0.0247669649,0.0000000000,0.0000862932,24990.7998046875,0.4034375000,0.5654296875
7060,0.0196460295,0.0000000000,0.0000000000,25278.1201171875,0.4921875000,0.5654296875
7072,0.0188125896,0.0000000000,0.0000000000,25362.5244140625,0.4296875000,0.5341796875
7174,0.0265343475,0.0000403070,0.0000812387,26085.6386718750,0.4453125000,0.5654296875
7185,0.0182790995,0.0000000000,0.0000000000,26164.2285156250,0.4296875000,0.5654296875
