Algorithm,Text Length,Pattern Length,Time (s),Memory (KB)
Suffix Array,100,10,8.249282836914062e-05,11.8427734375
Suffix Tree,100,10,1.5926361083984374e-05,1.15625
FM Index,100,10,1.3279914855957032e-05,1.189453125
Suffix Array,150,10,0.00012476444244384765,20.908203125
Suffix Tree,150,10,1.4328956604003907e-05,0.34375
FM Index,150,10,1.2731552124023437e-05,0.376953125
Suffix Array,200,10,0.00016460418701171874,32.2587890625
Suffix Tree,200,10,1.3852119445800782e-05,0.34375
FM Index,200,10,1.3971328735351563e-05,0.376953125
Suffix Array,250,10,0.00021643638610839843,46.67578125
Suffix Tree,250,10,1.609325408935547e-05,0.34375
FM Index,250,10,1.4138221740722656e-05,0.376953125
Suffix Array,300,10,0.00025920867919921876,64.2998046875
Suffix Tree,300,10,1.5115737915039062e-05,0.37109375
FM Index,300,10,1.3303756713867187e-05,0.431640625
Suffix Array,350,10,0.0003082752227783203,84.591796875
Suffix Tree,350,10,1.4519691467285158e-05,0.37109375
FM Index,350,10,1.4138221740722656e-05,0.431640625
Suffix Array,400,10,0.0003787040710449219,107.3876953125
Suffix Tree,400,10,1.5664100646972657e-05,0.37109375
FM Index,400,10,1.4972686767578124e-05,0.458984375
Suffix Array,450,10,0.0004296302795410156,132.75
Suffix Tree,450,10,1.4328956604003907e-05,0.37109375
FM Index,450,10,1.475811004638672e-05,0.431640625
Suffix Array,500,10,0.0004886627197265625,160.6787109375
Suffix Tree,500,10,1.56402587890625e-05,0.3984375
FM Index,500,10,1.7833709716796874e-05,0.458984375
Suffix Array,550,10,0.000557851791381836,191.173828125
Suffix Tree,550,10,1.52587890625e-05,0.37109375
FM Index,550,10,1.430511474609375e-05,0.525390625
Suffix Array,600,10,0.0006128549575805664,224.2353515625
Suffix Tree,600,10,1.5926361083984374e-05,0.3984375
FM Index,600,10,1.41143798828125e-05,0.525390625
Suffix Array,650,10,0.0006621599197387696,258.48828125
Suffix Tree,650,10,1.4472007751464844e-05,0.3984375
FM Index,650,10,1.4209747314453125e-05,0.458984375
Suffix Array,700,10,0.0007699251174926758,296.5576171875
Suffix Tree,700,10,1.659393310546875e-05,0.3984375
FM Index,700,10,1.4734268188476564e-05,0.525390625
Suffix Array,750,10,0.0008303403854370117,335.693359375
Suffix Tree,750,10,1.4328956604003905e-05,0.37109375
FM Index,750,10,1.5091896057128907e-05,0.525390625
Suffix Array,800,10,0.0009605884552001953,378.8330078125
Suffix Tree,800,10,1.6307830810546876e-05,0.3984375
FM Index,800,10,1.6570091247558594e-05,0.525390625
Suffix Array,850,10,0.0009261369705200195,422.8515625
Suffix Tree,850,10,1.7309188842773436e-05,0.3984375
FM Index,850,10,1.480579376220703e-05,0.525390625
Suffix Array,900,10,0.000987839698791504,471.0615234375
