Algorithm,Text Length,Pattern Length,Time (s),Memory (KB)
Suffix Array,100,5,0.0,10.4912109375
Suffix Tree,100,5,0.0,0.3125
FM Index,100,5,0.0,0.1171875
Suffix Array,100,10,0.00011096000671386718,10.4912109375
Suffix Tree,100,10,0.0,0.3125
FM Index,100,10,0.0,0.1171875
Suffix Array,100,20,0.0,10.4912109375
Suffix Tree,100,20,0.0,0.3125
FM Index,100,20,0.0,0.1171875
Suffix Array,100,50,0.0,10.4912109375
Suffix Tree,100,50,0.0,0.3125
FM Index,100,50,0.0,0.134765625
Suffix Array,200,5,0.00010650157928466797,30.5322265625
Suffix Tree,200,5,0.0,0.3125
FM Index,200,5,0.0,0.1171875
Suffix Array,200,10,9.970664978027343e-05,30.5322265625
Suffix Tree,200,10,0.0,0.3125
FM Index,200,10,0.0,0.1171875
Suffix Array,200,20,0.00011639595031738281,30.5322265625
Suffix Tree,200,20,0.0,0.3125
FM Index,200,20,0.0,0.1171875
Suffix Array,200,50,0.0,30.5322265625
Suffix Tree,200,50,0.0,0.359375
FM Index,200,50,0.0,0.134765625
Suffix Array,200,100,9.67264175415039e-05,30.5322265625
Suffix Tree,200,100,0.00010368824005126953,0.3125
FM Index,200,100,0.0,0.18359375
Suffix Array,500,5,0.0003146648406982422,157.5576171875
Suffix Tree,500,5,0.0,0.3125
FM Index,500,5,0.0,0.1845703125
Suffix Array,500,10,0.00020000934600830078,157.5576171875
Suffix Tree,500,10,0.0,0.34375
FM Index,500,10,0.0,0.158203125
Suffix Array,500,20,0.00020191669464111328,157.5576171875
Suffix Tree,500,20,0.0,0.3125
FM Index,500,20,0.0,0.19921875
Suffix Array,500,50,0.0003042697906494141,157.5576171875
Suffix Tree,500,50,0.0,0.3125
FM Index,500,50,0.0,0.228515625
Suffix Array,500,100,0.0002987146377563477,157.5576171875
Suffix Tree,500,100,0.0,0.3125
FM Index,500,100,0.0001150369644165039,0.27734375
Suffix Array,1000,5,0.0005132436752319336,568.2314453125
Suffix Tree,1000,5,0.0,0.34375
FM Index,1000,5,0.0,0.1845703125
Suffix Array,1000,10,0.0005359888076782226,568.2314453125
Suffix Tree,1000,10,0.0,0.3125
FM Index,1000,10,0.0,0.189453125
Suffix Array,1000,20,0.0006181001663208008,568.2314453125
Suffix Tree,1000,20,0.0,0.34375
FM Index,1000,20,0.0,0.19921875
Suffix Array,1000,50,0.0005151271820068359,568.2314453125
Suffix Tree,1000,50,0.0,0.34375
FM Index,1000,50,0.00010015964508056641,0.228515625
Suffix Array,1000,100,0.0005266427993774414,568.2314453125
Suffix Tree,1000,100,0.0,0.34375
FM Index,1000,100,0.0,0.27734375
Suffix Array,2000,5,0.0014405965805053711,2118.2431640625
Suffix Tree,2000,5,0.0,0.34375
FM Index,2000,5,0.0,0.1845703125
Suffix Array,2000,10,0.0015268564224243165,2118.2431640625
Suffix Tree,2000,10,0.0,0.34375
FM Index,2000,10,0.0,0.189453125
Suffix Array,2000,20,0.0018516063690185546,2118.2431640625
Suffix Tree,2000,20,0.0,0.34375
FM Index,2000,20,0.0,0.19921875
Suffix Array,2000,50,0.0016372919082641602,2118.2431640625
Suffix Tree,2000,50,0.0,0.34375
FM Index,2000,50,8.153915405273438e-06,0.228515625
Suffix Array,2000,100,0.001825261116027832,2118.2431640625
Suffix Tree,2000,100,0.0,0.34375
FM Index,2000,100,0.0,0.27734375
Suffix Array,5000,5,0.016428542137145997,12800.1142578125
Suffix Tree,5000,5,0.0,0.390625
FM Index,5000,5,0.0,0.1845703125
Suffix Array,5000,10,0.00956869125366211,12798.9111328125
Suffix Tree,5000,10,0.0,0.34375
FM Index,5000,10,0.0,0.189453125
Suffix Array,5000,20,0.008799290657043457,12798.9111328125
Suffix Tree,5000,20,0.0,0.34375
FM Index,5000,20,0.0,0.19921875
Suffix Array,5000,50,0.009720587730407714,12798.9111328125
Suffix Tree,5000,50,0.0,0.390625
FM Index,5000,50,0.0,0.228515625
Suffix Array,5000,100,0.00811762809753418,12798.9111328125
Suffix Tree,5000,100,0.0,0.34375
FM Index,5000,100,0.0,0.27734375
